5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 23:35	29	44	36	63	49	1	222	6	100
11/09/2015 23:40	23	30	30	44	50	1	178	6	100
11/09/2015 23:45	34	26	40	51	38	6	195	6	100
11/09/2015 23:50	21	36	27	47	23	1	155	6	100
11/09/2015 23:55	36	38	31	37	28	1	171	6	100
11/10/2015 00:00	20	22	31	47	33	3	156	6	100
11/10/2015 00:05	25	28	24	45	27	2	151	6	100
11/10/2015 00:10	12	27	25	36	28	10	138	6	100
11/10/2015 00:15	15	23	29	29	26	3	125	6	100
11/10/2015 00:20	21	24	23	38	23	4	133	6	100
11/10/2015 00:25	19	27	26	40	23	0	135	6	100
11/10/2015 00:30	19	21	18	23	20	7	108	6	100
11/10/2015 00:35	9	21	14	30	24	4	102	6	100
11/10/2015 00:40	9	11	16	26	17	1	80	6	100
11/10/2015 00:45	9	16	21	33	19	0	98	6	100
11/10/2015 00:50	11	11	14	13	11	1	61	6	100
11/10/2015 00:55	6	16	21	29	17	6	95	6	100
11/10/2015 01:00	20	23	20	20	19	14	116	6	0
11/10/2015 01:05	20	23	20	21	19	15	118	6	0
11/10/2015 01:10	20	23	20	21	19	15	118	6	0
11/10/2015 01:15	5	6	8	16	15	6	56	6	100
11/10/2015 01:20	14	20	14	16	11	0	75	6	100
11/10/2015 01:25	9	10	17	14	10	1	61	6	100
11/10/2015 01:30	9	10	14	23	16	4	76	6	100
11/10/2015 01:35	4	16	16	21	20	3	80	6	100
11/10/2015 01:40	7	11	10	23	17	1	69	6	100
11/10/2015 01:45	7	6	11	11	10	1	46	6	100
11/10/2015 01:50	6	6	11	17	13	3	56	6	100
11/10/2015 01:55	7	10	11	19	10	1	58	6	100
11/10/2015 02:00	6	14	11	10	9	0	50	6	100
11/10/2015 02:05	10	4	19	33	16	3	85	6	100
11/10/2015 02:10	8	18	16	30	11	2	85	6	100
11/10/2015 02:15	11	13	13	19	20	1	77	6	100
11/10/2015 02:20	3	6	10	17	13	0	49	6	100
11/10/2015 02:25	6	13	11	13	9	3	55	6	100
11/10/2015 02:30	9	14	18	26	9	1	77	6	100
11/10/2015 02:35	3	6	7	23	9	0	48	6	100
11/10/2015 02:40	9	16	11	21	10	3	70	6	100
11/10/2015 02:45	13	11	6	17	6	3	56	6	100
11/10/2015 02:50	9	11	10	24	11	3	68	6	100
11/10/2015 02:55	3	11	14	19	17	4	68	6	100
11/10/2015 03:00	9	14	10	17	16	0	66	6	100
11/10/2015 03:05	9	19	16	7	7	1	59	6	100
11/10/2015 03:10	13	10	14	24	13	1	75	6	100
11/10/2015 03:15	7	19	9	13	7	1	56	6	100
11/10/2015 03:20	11	19	14	19	7	1	71	6	100
