5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/10/2015 12:05	73	79	69	69	82	76	448	6	100
11/10/2015 12:10	54	74	71	81	80	71	431	6	100
11/10/2015 12:15	69	82	71	63	78	89	452	6	100
11/10/2015 12:20	85	100	62	65	81	76	469	6	100
11/10/2015 12:25	67	90	69	91	86	71	474	6	100
11/10/2015 12:30	77	79	70	64	82	72	444	6	100
11/10/2015 12:35	63	78	61	61	80	66	409	6	100
11/10/2015 12:40	74	71	82	87	78	85	477	6	100
11/10/2015 12:45	77	79	77	87	81	94	495	6	100
11/10/2015 12:50	70	82	68	81	76	76	453	6	100
11/10/2015 12:55	62	85	60	74	84	88	453	6	100
11/10/2015 13:00	51	75	67	65	85	78	421	6	100
11/10/2015 13:05	70	77	66	75	80	66	434	6	100
11/10/2015 13:10	73	83	71	96	81	67	471	6	100
11/10/2015 13:15	71	85	78	77	85	81	477	6	100
11/10/2015 13:20	62	81	66	85	76	82	452	6	100
11/10/2015 13:25	79	86	71	80	83	72	471	6	100
11/10/2015 13:30	52	72	74	76	85	70	429	6	100
11/10/2015 13:35	65	80	64	88	85	71	453	6	100
11/10/2015 13:40	56	84	77	86	97	76	476	6	100
